pair_key,task_id,seed,memory_type,status,score_delta,f1_effect,share_f1,withhold_f1,share_success,withhold_success,share_predicted,withhold_predicted
interv_85_conflicting_s43,85,43,conflicting,valid_complete,0.0,0.2286,0.8,0.5714,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_85_role_mismatched_s43,85,43,role_mismatched,valid_complete,0.0,0.0,0.8,0.8,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION']","['INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX']"
interv_93_beneficial_s41,93,41,beneficial,valid_complete,-1.0,-0.1714,0.4,0.5714,False,True,"['INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_93_irrelevant_s41,93,41,irrelevant,valid_complete,0.0,0.0,0.4,0.4,False,False,"['INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'VACUUM']"
interv_93_conflicting_s41,93,41,conflicting,valid_complete,0.0,0.0,0.5714,0.5714,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_93_role_mismatched_s41,93,41,role_mismatched,valid_complete,0.0,0.0,0.4,0.4,False,False,"['INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'VACUUM']","['INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'VACUUM']"
interv_93_beneficial_s42,93,42,beneficial,valid_complete,0.0,0.0,0.4,0.4,False,False,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'VACUUM']","['INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'VACUUM']"
interv_93_irrelevant_s42,93,42,irrelevant,valid_complete,1.0,0.1714,0.5714,0.4,True,False,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'VACUUM']"
interv_93_conflicting_s42,93,42,conflicting,valid_complete,1.0,0.1714,0.5714,0.4,True,False,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'VACUUM']"
interv_93_role_mismatched_s42,93,42,role_mismatched,valid_complete,0.0,0.0,0.4,0.4,False,False,"['INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'VACUUM']","['INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'VACUUM']"
interv_93_beneficial_s43,93,43,beneficial,valid_complete,0.0,0.0,0.5714,0.5714,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_93_irrelevant_s43,93,43,irrelevant,valid_complete,-1.0,-0.1714,0.4,0.5714,False,True,"['INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_93_conflicting_s43,93,43,conflicting,valid_complete,1.0,0.1714,0.5714,0.4,True,False,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'VACUUM']"
interv_93_role_mismatched_s43,93,43,role_mismatched,valid_complete,0.0,0.0,0.5714,0.5714,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
